Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      793    0.003    0.000    0.009    0.000 base.py:1026(__iter__)
     1652    0.003    0.000    0.003    0.000 nn_input_logic.py:89(<listcomp>)
     1652    0.003    0.000    0.003    0.000 nn_input_logic.py:83(<listcomp>)
      236    0.003    0.000    0.078    0.000 frame.py:2595(transpose)
     3883    0.003    0.000    0.003    0.000 Card_types.py:842(EOT_cleanup)
      472    0.003    0.000  126.053    0.267 Player.py:602(EOT_cleanup)
     1231    0.003    0.000    0.012    0.000 _dtype.py:46(__str__)
      472    0.003    0.000    0.067    0.000 construction.py:123(init_ndarray)
     2644    0.003    0.000    0.012    0.000 Card_types.py:669(check_costs)
     1898    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      472    0.003    0.000    0.004    0.000 numerictypes.py:578(_can_coerce_all)
    21648    0.003    0.000    0.003    0.000 M20_cards.py:872(<lambda>)
      811    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    812/8    0.003    0.000    0.736    0.092 <frozen importlib._bootstrap>:663(_load_unlocked)
     1430    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      253    0.003    0.000    0.086    0.000 generic.py:4299(reindex)
      268    0.003    0.000    0.109    0.000 concat.py:454(get_result)
  795/100    0.003    0.000    0.006    0.000 sre_compile.py:71(_compile)
     4176    0.003    0.000    0.016    0.000 Card_types.py:597(check_for_legal_targets)
     4647    0.003    0.000    0.036    0.000 Abilities_Effects.py:174(check_for_legal_targets)
     5588    0.003    0.000    0.014    0.000 series.py:520(_internal_get_values)
    31830    0.003    0.000    0.003    0.000 {method 'values' of 'dict' objects}
       68    0.003    0.000    0.007    0.000 random.py:264(shuffle)
      814    0.003    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
   845/11    0.002    0.000    0.740    0.067 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     4274    0.002    0.000    0.007    0.000 Card_types.py:774(enter_zone_effects)
     3800    0.002    0.000    0.148    0.000 Card_types.py:616(legal_req_tar_cho_costs)
      236    0.002    0.000  126.060    0.534 Game.py:453(turn_cleanup)
     1313    0.002    0.000    0.021    0.000 managers.py:655(_consolidate_check)
      502    0.002    0.000    0.031    0.000 textwrap.py:414(dedent)
     9389    0.002    0.000    0.002    0.000 blocks.py:339(dtype)
      479    0.002    0.000    0.032    0.000 managers.py:368(apply)
      494    0.002    0.000    0.008    0.000 cast.py:347(maybe_promote)
